sample,X,Y,color,place,file
WA14Arkansas,1.795048237,-5.222583771,green,A,W1A_WA14Arkansas TFIDF.png
WA15Arkansas,3.490498066,0.021930546,green,A,W2A_WA15Arkansas TFIDF.png
WA7Arkansas,3.822439194,1.797642231,green,A,W3A_WA7Arkansas TFIDF.png
WA9Arkansas,0.961593211,1.409191489,green,A,W4A_WA9Arkansas TFIDF.png
WB10Arkansas,1.495041609,0.483690828,green,A,W5A_WB10Arkansas TFIDF.png
WB15Arkansas,1.487184048,-2.107081652,green,A,W6A_WB15Arkansas TFIDF.png
WB8Arkansas,3.218513012,1.800298691,green,A,W7A_WB8Arkansas TFIDF.png
WB9Arkansas,0.568836689,-2.147084713,green,A,W8A_WB9Arkansas TFIDF.png
WC1Arkansas,10.00593567,2.029893398,green,A,W9A_WC1Arkansas TFIDF.png
WC13Arkansas,2.178126812,-2.616536617,green,A,W10A_WC13Arkansas TFIDF.png
WC3Arkansas,1.859918714,0.180940717,green,A,W11A_WC3Arkansas TFIDF.png
WC5Arkansas,1.898945332,-5.6357131,green,A,W12A_WC5Arkansas TFIDF.png
WD12Arkansas,1.210066319,-1.817440629,green,A,W13A_WD12Arkansas TFIDF.png
WD14Arkansas,3.743717194,0.733459413,green,A,W14A_WD14Arkansas TFIDF.png
WD7Arkansas,2.746677876,-0.007176004,green,A,W15A_WD7Arkansas TFIDF.png
WD9Arkansas,1.610707521,-2.997133493,green,A,W16A_WD9Arkansas TFIDF.png
CA13Arkansas,8.131448746,0.678321719,gold,A,C1A_CA13Arkansas TFIDF.png
CA2Arkansas,5.128195763,-3.22742939,gold,A,C2A_CA2Arkansas TFIDF.png
CA5Arkansas,5.657481194,-1.690330148,gold,A,C3A_CA5Arkansas TFIDF.png
CA6Arkansas,5.324968815,-1.536465406,gold,A,C4A_CA6Arkansas TFIDF.png
CA8Arkansas,6.654894352,-1.738677144,gold,A,C5A_CA8Arkansas TFIDF.png
CB10Arkansas,6.438961506,-0.28543368,gold,A,C6A_CB10Arkansas TFIDF.png
CB15Arkansas,7.432174206,0.851145089,gold,A,C7A_CB15Arkansas TFIDF.png
CB5Arkansas,4.822475433,-0.611272573,gold,A,C8A_CB5Arkansas TFIDF.png
CC16Arkansas,8.249353409,-0.299147993,gold,A,C9A_CC16Arkansas TFIDF.png
CC8Arkansas,7.134057999,0.923776329,gold,A,C10A_CC8Arkansas TFIDF.png
CD1Arkansas,9.157588005,-0.474574059,gold,A,C11A_CD1Arkansas TFIDF.png
CD10Arkansas,9.344931602,4.290977001,gold,A,C12A_CD10Arkansas TFIDF.png
CD11Arkansas,7.182711124,-1.157824278,gold,A,C13A_CD11Arkansas TFIDF.png
CD15Arkansas,7.702149868,0.438117534,gold,A,C14A_CD15Arkansas TFIDF.png
CD5Arkansas,9.579601288,-1.845802426,gold,A,C15A_CD5Arkansas TFIDF.png
CD8Arkansas,9.345396042,-2.301483631,gold,A,C16A_CD8Arkansas TFIDF.png
WA14Michigan,1.766445041,-5.034611225,purple,M,W1M_WA14Michigan TFIDF.png
WA15Michigan,3.598245382,-0.555200875,purple,M,W2M_WA15Michigan TFIDF.png
WA7Michigan,4.888363361,1.643640757,purple,M,W3M_WA7Michigan TFIDF.png
WA9Michigan,0.995040536,1.18134737,purple,M,W4M_WA9Michigan TFIDF.png
WB10Michigan,0.999230027,-0.043762479,purple,M,W5M_WB10Michigan TFIDF.png
WB15Michigan,1.485206604,-2.102766514,purple,M,W6M_WB15Michigan TFIDF.png
WB8Michigan,2.835987329,1.670551538,purple,M,W7M_WB8Michigan TFIDF.png
WB9Michigan,1.045872808,-0.988373399,purple,M,W8M_WB9Michigan TFIDF.png
WC1Michigan,9.976997375,2.037285328,purple,M,W9M_WC1Michigan TFIDF.png
WC13Michigan,2.636404514,-1.342324495,purple,M,W10M_WC13Michigan TFIDF.png
WC3Michigan,2.283273697,0.355273187,purple,M,W11M_WC3Michigan TFIDF.png
WC5Michigan,1.8525455,-5.162960052,purple,M,W12M_WC5Michigan TFIDF.png
WD12Michigan,2.078351021,-1.349856973,purple,M,W13M_WD12Michigan TFIDF.png
WD14Michigan,2.793291569,-0.854816675,purple,M,W14M_WD14Michigan TFIDF.png
WD7Michigan,0.409932137,-0.801246107,purple,M,W15M_WD7Michigan TFIDF.png
WD9Michigan,2.345247507,-1.355666637,purple,M,W16M_WD9Michigan TFIDF.png
CA13Michigan,8.52152729,0.751374781,salmon,M,C1M_CA13Michigan TFIDF.png
CA2Michigan,4.571720123,-2.304700613,salmon,M,C2M_CA2Michigan TFIDF.png
CA5Michigan,5.745833874,-2.498512506,salmon,M,C3M_CA5Michigan TFIDF.png
CA6Michigan,4.978071213,-1.34387362,salmon,M,C4M_CA6Michigan TFIDF.png
CA8Michigan,7.246508598,-1.779865384,salmon,M,C5M_CA8Michigan TFIDF.png
CB10Michigan,6.216330051,0.345718771,salmon,M,C6M_CB10Michigan TFIDF.png
CB15Michigan,6.890988827,0.113274425,salmon,M,C7M_CB15Michigan TFIDF.png
CB5Michigan,4.754192352,-0.54152143,salmon,M,C8M_CB5Michigan TFIDF.png
CC16Michigan,6.968069553,3.488578558,salmon,M,C9M_CC16Michigan TFIDF.png
CC8Michigan,7.809883595,0.452645391,salmon,M,C10M_CC8Michigan TFIDF.png
CD1Michigan,9.175498009,-0.505363226,salmon,M,C11M_CD1Michigan TFIDF.png
CD10Michigan,9.326142311,4.288603306,salmon,M,C12M_CD10Michigan TFIDF.png
CD11Michigan,7.620660782,-1.271736383,salmon,M,C13M_CD11Michigan TFIDF.png
CD15Michigan,7.755046368,1.586994052,salmon,M,C14M_CD15Michigan TFIDF.png
CD5Michigan,9.603862762,-1.531569839,salmon,M,C15M_CD5Michigan TFIDF.png
CD8Michigan,9.265275002,-2.495791435,salmon,M,C16M_CD8Michigan TFIDF.png
WA14Dimen,0.517536163,6.389808178,steelblue,D,W1D_WA14Dimen TFIDF.png
WA15Dimen,1.862270355,6.725095272,steelblue,D,W2D_WA15Dimen TFIDF.png
WA7Dimen,2.14622426,8.885406494,steelblue,D,W3D_WA7Dimen TFIDF.png
WA9Dimen,2.567991257,6.567171574,steelblue,D,W4D_WA9Dimen TFIDF.png
WB10Dimen,1.732019424,6.0610919,steelblue,D,W5D_WB10Dimen TFIDF.png
WB15Dimen,2.298807621,7.0883708,steelblue,D,W6D_WB15Dimen TFIDF.png
WB8Dimen,2.826032877,7.899321079,steelblue,D,W7D_WB8Dimen TFIDF.png
WB9Dimen,1.987577558,7.313359737,steelblue,D,W8D_WB9Dimen TFIDF.png
WC1Dimen,4.508514881,6.896977425,steelblue,D,W9D_WC1Dimen TFIDF.png
WC13Dimen,5.407819271,5.977772236,steelblue,D,W10D_WC13Dimen TFIDF.png
WC3Dimen,1.651151657,7.130931377,steelblue,D,W11D_WC3Dimen TFIDF.png
WC5Dimen,1.186566353,6.753318787,steelblue,D,W12D_WC5Dimen TFIDF.png
WD12Dimen,2.552205086,9.353340149,steelblue,D,W13D_WD12Dimen TFIDF.png
WD14Dimen,4.905190945,7.356813908,steelblue,D,W14D_WD14Dimen TFIDF.png
WD7Dimen,3.48975563,7.660135746,steelblue,D,W15D_WD7Dimen TFIDF.png
WD9Dimen,4.004868031,6.884449959,steelblue,D,W16D_WD9Dimen TFIDF.png
CA13Dimen,5.800695896,7.226327896,lightskyblue,D,C1D_CA13Dimen TFIDF.png
CA2Dimen,3.512905121,9.4870224,lightskyblue,D,C2D_CA2Dimen TFIDF.png
CA5Dimen,2.643899918,9.003004074,lightskyblue,D,C3D_CA5Dimen TFIDF.png
CA6Dimen,3.842954159,8.416384697,lightskyblue,D,C4D_CA6Dimen TFIDF.png
CA8Dimen,4.040092945,8.908565521,lightskyblue,D,C5D_CA8Dimen TFIDF.png
CB10Dimen,3.965892792,9.31262207,lightskyblue,D,C6D_CB10Dimen TFIDF.png
CB15Dimen,4.849152565,8.388407707,lightskyblue,D,C7D_CB15Dimen TFIDF.png
CB5Dimen,3.117899895,8.827196121,lightskyblue,D,C8D_CB5Dimen TFIDF.png
CC16Dimen,7.221401215,7.621237278,lightskyblue,D,C9D_CC16Dimen TFIDF.png
CC8Dimen,4.244044781,7.952133656,lightskyblue,D,C10D_CC8Dimen TFIDF.png
CD1Dimen,6.293134689,7.483610153,lightskyblue,D,C11D_CD1Dimen TFIDF.png
CD10Dimen,6.567975044,6.309765339,lightskyblue,D,C12D_CD10Dimen TFIDF.png
CD11Dimen,5.539027691,8.288066864,lightskyblue,D,C13D_CD11Dimen TFIDF.png
CD15Dimen,5.486047268,7.216165066,lightskyblue,D,C14D_CD15Dimen TFIDF.png
CD5Dimen,6.118299484,8.537319183,lightskyblue,D,C15D_CD5Dimen TFIDF.png
CD8Dimen,5.848937511,7.944316864,lightskyblue,D,C16D_CD8Dimen TFIDF.png
